"Timestamp,Gender,Age_Group,Study_Level,Study_Hours,Performance,Weekly_Schedule,Procrastinate,Set_Goals,Assess_Understanding,Assess_Stress,Seek_Resources,Revision_Strategy,Use_Digital_Tools,Tools_Improve,Prefer_Group_Study,Group_Helps,Contribute_to_Group,Early_Revision,Active_Revision,Motivation"
"2025/11/28 03:01:47 AM UTC+1,Male,18-22,Master's,10-15 hours,Excellent,Strongly agree,Strongly disagree,Agree,Strongly disagree,6,Neutral,Regular review sessions,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Setting small, achievable goals"
"2025/12/02 05:44:27 AM UTC+1,Male,18-22,Master's,More than 15 hours,Average,Disagree,Strongly disagree,Strongly agree,Agree,10,Strongly agree,The Pomodoro technique,Agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Making study materials engaging"
"2025/11/14 10:04:02 PM UTC+1,Female,22-30,Bachelor's,10-15 hours,Excellent,Agree,Disagree,Strongly agree,Neutral,5,Agree,Flashcards and self-testing,Strongly agree,Agree,Strongly disagree,Agree,Neutral,Disagree,Agree,Studying with friends for accountability"
"2025/12/07 08:44:35 PM UTC+1,Female,22-30,Bachelor's,Less than 5 hours,Poor,Disagree,Neutral,Strongly disagree,Strongly agree,4,Strongly agree,Group study sessions,Neutral,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Reminding myself of long-term goals"
"2025/11/16 11:37:27 PM UTC+1,Male,18-22,Master's,5-10 hours,Poor,Strongly disagree,Disagree,Disagree,Strongly agree,4,Agree,Making detailed summaries,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Thinking about future career opportunities"
"2025/11/29 05:48:17 PM UTC+1,Male,18-22,Other,Less than 5 hours,Poor,Neutral,Strongly agree,Strongly agree,Strongly agree,5,Agree,Making detailed summaries,Strongly agree,Neutral,Agree,Agree,Strongly disagree,Agree,Agree,Reminding myself of long-term goals"
"2025/12/07 12:38:20 AM UTC+1,Male,Under 18,PhD,10-15 hours,Excellent,Neutral,Strongly disagree,Strongly agree,Strongly agree,5,Disagree,The Pomodoro technique,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Strongly agree,Neutral,Reminding myself of long-term goals"
"2025/12/05 07:27:13 PM UTC+1,Female,22-30,Other,More than 15 hours,Excellent,Agree,Disagree,Disagree,Neutral,9,Neutral,Creating study guides,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Visualizing academic success"
"2025/11/10 04:15:17 PM UTC+1,Male,18-22,Master's,10-15 hours,Excellent,Agree,Strongly disagree,Agree,Agree,6,Disagree,Mind mapping,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Visualizing academic success"
"2025/12/03 03:15:12 AM UTC+1,Female,22-30,Master's,5-10 hours,Average,Strongly disagree,Strongly agree,Disagree,Strongly agree,6,Agree,Active recall and spaced repetition,Agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Agree,Tracking progress in a study journal"
