"Horodateur,""What is your gender?"",""What is your age group?"",""What is your current level of study?"",""How many hours per week do you dedicate to studying (outside class)?"",""How would you rate your overall academic performance?"",""I create a weekly study schedule and follow it."",""I often postpone studying until the last minute."",""I set clear goals for each study session."",""I regularly assess my understanding of the material while studying."",""When I do not understand something, I look for additional resources to learn it."",""What revision strategy do you find most effective? "",""I use digital tools ( e.g., Notion, Quizlet, Google Docs, ChatGPT) to organize my studies."",""Using digital tools have improved my academic performance."",""I prefer studying in groups rather than studying alone."",""Working with classmates helps me understand difficult topics better."",""I actively contribute to group study sessions (e.g., sharing notes, explaining concepts)"",""I start revising course material well before exams."",""I use active revision techniques (e.g., practice questions, flashcards, summaries)."",""How do you stay motivated to study regularly? (Short answer)"""
"2025/11/08 12:45:07 AM UTC+1,""Female"",""22–30"",""Other"",""Less than 5 hours"",""Good"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""I love you"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""I love you"""
"2025/11/22 1:22:16 PM UTC+1,""Female"",""22–30"",""Master""’s"",""5–10 hours"",""Average"",""Strongly disagree"",""Neutral"",""Strongly disagree"",""Strongly agree"",""Strongly agree"",""Active Recall   Spaced Repetition  Interleaving "",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Set clear, achievable goals, use a consistent study routine, and track small wins."""
"2025/11/22 5:11:42 PM UTC+1,""Female"",""22–30"",""""""Bachelor""""’s"",""10–15 hours"",""Good"",""Agree"",""Agree"",""Neutral"",""Agree"",""Strongly agree"",""By making summaries and study notes."",""Strongly agree""""Strongly agree"",""Strongly disagree"",""Neutral"",""Disagree"",""Strongly agree""""Strongly agree""""By setting small goals."""
"2025/11/22 5:12:23 PM UTC+1,""Male"",""22–30"",""Master""’s"",""10–15 hours"",""Good"",""Agree"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Fin kayn nta fin kayn"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Kidayra lwalida b3da"""
"2025/11/22 5:18:46 PM UTC+1,""Female"",""22–30"",""""PhD"""",""More than 15 hours"",""Excellent"",""Strongly agree""""Strongly disagree"",""Agree"",""Agree"",""Agree"",""I prefer explaining the lesson to someone as if i were the teacher."",""Strongly agree""""Strongly agree""""Neutral"",""Agree"",""Agree"",""Strongly agree"",""Strongly agree""""I stay motivated by reminding myself of my long-term plans."""
"2025/11/22 5:19:03 PM UTC+1,""Male"",""22–30"",""Other"",""Less than 5 hours"",""""Poor"""",""Strongly agree""""Strongly disagree"",""Strongly agree""""Strongly agree""""Strongly agree"",""It is a summary of the lessons and an increase in practical work."",""Strongly agree""""Agree"",""Agree"",""Strongly agree""""Agree"",""Strongly agree""""Strongly agree""""My desire is for the best."""
"2025/11/22 5:25:09 PM UTC+1,""Female"",""22–30"",""Master""’s"",""10–15 hours"",""Good"",""Agree"",""Disagree"",""Strongly agree""""Strongly agree""""Strongly agree""""Read while understanding, taking a sheet of paper and writing down what you have learned, and redo exercises already done at schoo"",""Neutral"",""Agree"",""Disagree"",""Agree"",""Agree"",""Agree"",""Strongly agree""""thinking about my goal and my dreams"""
"2025/11/22 5:26:37 PM UTC+1,""Female"",""22–30"",""Master""’s"",""5–10 hours"",""Good"",""Agree"",""Neutral"",""Strongly agree""""Agree"",""Agree"",""Self-assessment and practice - organization and time planning"",""Strongly agree""""Strongly agree""""Agree"",""Agree"",""Strongly agree""""Agree"",""Strongly agree"",""Achievable goals and rewarding myself for milestones !"""
"2025/11/22 5:31:14 PM UTC+1,""Female"",""22–30"",""Master""’s"",""Less than 5 hours"",""Good"",""Strongly agree""""Agree"",""Agree"",""Agree"",""Agree"",""Do it in 3 part : first reading and getting the context, second understanding and third learning "",""Agree"",""Agree"",""Neutral"",""Strongly agree""""Agree"",""Disagree"",""Agree"",""Thinking about failure to get motivation """
"2025/11/22 5:44:32 PM UTC+1,""Male"",""22–30"",""""Bachelor""’s"",""Less than 5 hours"",""Good"",""Disagree"",""Strongly agree"",""Disagree"",""Agree"",""Neutral"","""",""Agree"",""Agree"",""Neutral"",""Agree"",""Agree"",""Neutral"",""Agree"","" Long time benefits """
